SERIAL_NUMBER;TITLE;STATUS;Part_number;Descripcion;suscription_id;FechaActivacion;FechaVencimiento;EmpresaCI;cantidad;coste;pvp2;pvp_total;tipo_facturacion;mail_contacto;val;autorenovable
LICGÜELLS.AM3651;LICENCIA M365 GÜELL S.A;inactive;CSP-365-BUE;Microsoft 365 Empresa Básico;B1F49541-D7A6-4228-8E70-2947DFFF1CF9;1970-01-01;1970-01-01;GÜELL S.A;5;0.01;0.01;0.05;Anual;jguell@eguell.com;0;1
LICGÜELLS.AM3654;LICENCIA M365 GÜELL S.A;active;TTC0LH1P1A1A;Exchange Online (plan 2);6cac0eb5-e568-4441-da9b-e848bc2ad265;2024-03-04;2025-02-04;GÜELL S.A;1;76.6;90.0;90.0;Anual;jguell@eguell.com;0;1
LICEQUIPOSPAM3654;LICENCIA EMOSA EXCHANGE ONLINE;inactive;65304521CA;Acrobat Pro DC for teams - Multiple Platforms - Multi EU Languages;no;1970-01-01;1970-01-01;EQUIPOS PARA MANUTENCION Y OBRAS SA;1;249.57;287.88;287.88;Anual;alejandro.omedes@emosa.com;0;1
LICAJUNTAMENTM3652;LICENCIA M365 AJUNTAMENT DE LA GRANADA;inactive;65304579CA;Adobe VIP Marketplace - Only Commercial - Europe;no;1970-01-01;1970-01-01;AJUNTAMENT DE LA GRANADA;1;872.59;929.88;929.88;Anual;romeromam@diba.cat;0;1
LICALANAITDM3652;LICENCIA M365 ALANA IT DIGITAL SL;inactive;CSP-EXO-P1;CSP-Exchange Online (Plan 1);164724E4-A6E8-4303-83E1-DF7A9BBC2745;1970-01-01;1970-01-01;ALANA IT DIGITAL SL;21;3.03;3.4;71.4;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3653;LICENCIA M365 ALANA IT DIGITAL SL;inactive;CSP-365-BUP;CSP-Office 365 Business Premium;91AF0A6E-780F-489B-8906-92D505643855;1970-01-01;1970-01-01;ALANA IT DIGITAL SL;22;9.44;10.5;231.0;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3654;LICENCIA M365 ALANA IT DIGITAL SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;7aab60ab-77da-4d2f-c05f-2de58536bab8;2022-02-17;2025-02-16;ALANA IT DIGITAL SL;1;57.19;67.2;67.2;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3655;LICENCIA M365 ALANA IT DIGITAL SL;active;TTC0LH161A1A;Exchange Online (Plan 1);62df6bbf-bc48-46e3-d370-33df8f740a92;2023-12-20;2025-01-22;ALANA IT DIGITAL SL;21;37.79;44.4;932.4;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3656;LICENCIA M365 ALANA IT DIGITAL SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;48778dc2-7f1e-45e2-d2ab-ca3b1b1bd626;2023-12-21;2025-01-22;ALANA IT DIGITAL SL;25;119.49;140.4;3510.0;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3657;LICENCIA M365 ALANA IT DIGITAL SL;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;c5eeab8d-5753-4e1c-d669-7113975da609;2024-01-29;2025-01-31;ALANA IT DIGITAL SL;1;100.09;117.6;117.6;Anual;jcgarcia@alanait.com;0;1
LICALANAITDM3658;LICENCIA M365 ALANA IT DIGITAL SL;active;TTC0MM8R2A1A;Microsoft Copilot para Microsoft 365;02aed193-bc46-4827-cc44-5087fed51e82;2024-09-02;2025-08-02;ALANA IT DIGITAL SL;1;312.87;337.2;337.2;Anual;jcgarcia@alanait.com;0;1
LICASESORIAYM3652;LICENCIA M365 ASESORIA Y CONSULTORIA PARA EMPRESAS YOU SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;07b94bba-953e-481e-d83a-0b5eb119c0dc;2023-11-27;2025-11-26;ASESORIA Y CONSULTORIA PARA EMPRESAS YOU SL;22;119.49;140.4;3088.8;Anual;marmartin@youasesoria.com;0;1
LICCAFERASSEM3652;LICENCIA M365 CAFER ASSESSORIA I GESTIO SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;9f1b4bc7-6b48-4f87-dd92-a497923d99ba;2023-07-03;2025-06-03;CAFER ASSESSORIA I GESTIO, SL;3;119.49;140.4;421.2;Anual;manel@cafer-assessors.com;0;1
LICCAFERASSEM3653;LICENCIA M365 CAFER ASSESSORIA I GESTIO SL;active;TTC0LH0V1A1A;Dispositivos compartidos de Microsoft Teams;bb99872e-5720-4917-db01-9eed905063f0;2023-03-28;2025-03-27;CAFER ASSESSORIA I GESTIO, SL;3;76.6;90.0;270.0;Anual;manel@cafer-assessors.com;0;1
